pmt#,mean_phot_count,mode
0,215.217,227.083
1,149.907,152.083
2,77.035,77.0833
3,58.381,52.0833
4,339.409,327.083
5,186.758,181.25
6,127.36,127.083
7,54.844,52.0833
8,794.221,802.083
9,448.557,435.417
10,213.08,202.083
11,120.996,127.083
12,1796.7,1739.58
13,1192.73,1181.25
14,766.541,747.917
15,331.152,327.083
16,282.85,277.083
17,101.29,102.083
18,4061.56,3952.08
19,2331.07,2277.08
20,1320.92,1327.08
21,498.161,502.083
22,404.144,402.083
23,132.411,127.083
24,7892.78,7747.92
25,2046.72,1993.75
26,702.403,672.917
27,286.398,277.083
28,6189.89,5902.08
29,1229.04,1185.42
30,609.439,627.083
31,170.542,160.417
32,13446.7,13502.1
33,2683.72,2677.08
34,889.042,927.083
35,328.299,327.083
