pmt#,mean_phot_count,mode
0,52.862,52.0833
1,63.172,60.4167
2,43.93,43.75
3,49.622,52.0833
4,98.744,102.083
5,108.204,102.083
6,96.74,93.75
7,63.8,56.25
8,127.624,114.583
9,168.684,152.083
10,113.6,102.083
11,123.974,118.75
12,135.768,118.75
13,233.274,206.25
14,260.808,252.083
15,179.592,172.917
16,230.512,214.583
17,134.912,127.083
18,180.908,177.083
19,337.464,327.083
20,390.53,352.083
21,263.354,252.083
22,326.442,306.25
23,177.512,160.417
24,330.804,302.083
25,510.01,477.083
26,342.298,310.417
27,328.252,302.083
28,492.214,439.583
29,625.958,589.583
30,505.068,472.917
31,246.914,227.083
32,363.332,327.083
33,613.39,552.083
34,412.95,368.75
35,360.018,331.25
