pmt#,mean_phot_count,mode
0,1311,1252.08
1,1951.15,1918.75
2,1302.81,1177.08
3,1313.55,1352.08
4,2314.45,2502.08
5,2736.38,2927.08
6,2313.45,2097.92
7,1241.39,1227.08
8,2200.25,2352.08
9,3416.33,3527.08
10,2266.4,2277.08
11,2193.42,2281.25
12,1678.36,1672.92
13,3222.47,3327.08
14,3849.28,4077.08
15,2574.13,2664.58
16,3198.06,3281.25
17,1661.77,1702.08
18,1732.05,1731.25
19,3318.24,3327.08
20,4001,4110.42
21,2683.4,2747.92
22,3335.28,3452.08
23,1729.34,1781.25
24,2430.56,2452.08
25,3822.59,3918.75
26,2539.58,2518.75
27,2430.89,2456.25
28,2753.99,2718.75
29,3328.64,3352.08
30,2765.41,2781.25
31,1451.23,1460.42
32,1657.47,1652.08
33,2580.91,2531.25
34,1721.95,1702.08
35,1659.62,1652.08
