pmt#,mean_phot_count,mode
0,146.73,172.917
1,188.499,227.083
2,127.879,156.25
3,145.802,177.083
4,274.664,352.083
5,305.038,402.083
6,274.255,327.083
7,174.316,210.417
8,347.88,427.083
9,471.32,589.583
10,316.703,402.083
11,343.361,402.083
12,358.198,452.083
13,634.327,781.25
14,723.776,927.083
15,491.323,622.917
16,631.357,777.083
17,347.261,427.083
18,466.691,577.083
19,875.861,1081.25
20,1031.93,1277.08
21,697.912,868.75
22,869.923,1089.58
23,469.952,593.75
24,835.262,1022.92
25,1317.06,1656.25
26,879.178,1097.92
27,837.041,1039.58
28,1203.11,1481.25
29,1511.02,1877.08
30,1225.75,1527.08
31,615.446,714.583
32,841.914,985.417
33,1405.04,1677.08
34,939.423,1127.08
35,840.64,1002.08
