pmt#,mean_phot_count,mode
0,149.788,177.083
1,188.602,227.083
2,132.596,152.083
3,143.702,177.083
4,276.055,327.083
5,308.019,377.083
6,276.219,335.417
7,174.44,214.583
8,354.164,439.583
9,485.742,577.083
10,321.66,402.083
11,346.993,422.917
12,362.834,439.583
13,639.878,793.75
14,734.657,922.917
15,498.365,631.25
16,638.767,764.583
17,352.279,431.25
18,471.526,568.75
19,883.414,1102.08
20,1044.11,1302.08
21,708.186,889.583
22,892.093,1077.08
23,479.162,585.417
24,841.93,1027.08
25,1329.32,1672.92
26,891.21,1102.08
27,845.664,1031.25
28,1207.31,1477.08
29,1529.17,1889.58
30,1241.58,1527.08
31,609.012,727.083
32,844.23,1022.92
33,1420.19,1702.08
34,948.823,1131.25
35,847.775,1002.08
