pmt#,mean_phot_count,mode
0,1748.87,1652.08
1,2482.32,2435.42
2,1625.33,1527.08
3,1740.38,1577.08
4,2913.92,2727.08
5,3358.56,3452.08
6,2908.75,2818.75
7,1663.93,1593.75
8,2817.41,2614.58
9,4160.4,4302.08
10,2723.1,2827.08
11,2810.16,2831.25
12,2217.16,2252.08
13,4006.11,4077.08
14,4686.63,4777.08
15,3067.91,3214.58
16,4006.61,4027.08
17,2232.95,2256.25
18,2289.81,2327.08
19,4177.03,4302.08
20,4911.13,5068.75
21,3228.69,3347.92
22,4180.34,4202.08
23,2297.58,2347.92
24,3136.09,3072.92
25,4760.84,4818.75
26,3098.15,3135.42
27,3147.36,3252.08
28,3580.64,3677.08
29,4218.95,4202.08
30,3566.93,3543.75
31,1987.4,1952.08
32,2273.01,2218.75
33,3358.21,3327.08
34,2196.91,2202.08
35,2255.69,2277.08
