pmt#,mean_phot_count,mode
0,1263.47,1239.58
1,1887.25,1777.08
2,1257.28,1235.42
3,1273.47,1177.08
4,2244.79,2110.42
5,2656.72,2743.75
6,2248.64,2327.08
7,1207.93,1152.08
8,2144.87,2006.25
9,3335.71,3443.75
10,2215.34,2285.42
11,2149.04,2202.08
12,1643.83,1564.58
13,3165.74,3193.75
14,3785.53,3893.75
15,2532.23,2627.08
16,3144.31,3127.08
17,1636.35,1681.25
18,1702.75,1702.08
19,3270.93,3252.08
20,3951.44,3977.08
21,2653.6,2752.08
22,3297.74,3343.75
23,1706.51,1718.75
24,2405.7,2339.58
25,3786.15,3777.08
26,2517.36,2527.08
27,2408.37,2364.58
28,2731.36,2702.08
29,3304.33,3202.08
30,2742.72,2727.08
31,1441.99,1452.08
32,1648.82,1631.25
33,2564.85,2552.08
34,1711.01,1756.25
35,1650.11,1614.58
