pmt#,mean_phot_count,mode
0,1857.74,1977.08
1,2963.59,2997.92
2,1987.01,2056.25
3,1856.17,1927.08
4,2703.2,2647.92
5,3279.35,3181.25
6,2686.34,2602.08
7,1356.27,1327.08
8,2020.39,1997.92
9,3223.68,3202.08
10,2146.76,2152.08
11,2013.99,1997.92
12,1223.08,1210.42
13,2356.12,2277.08
14,2824.27,2777.08
15,1893.09,1902.08
16,2366.62,2377.08
17,1223.61,1177.08
18,1009.33,1006.25
19,1854.36,1877.08
20,2208.76,2189.58
21,1495.37,1539.58
22,1880.07,1852.08
23,1014.42,1002.08
24,1092.13,1077.08
25,1601.97,1560.42
26,1058.84,1027.08
27,1096.36,1077.08
28,940.78,939.583
29,1061.58,1027.08
30,928.853,922.917
31,553.95,568.75
32,500.71,485.417
33,676.657,677.083
34,456.277,452.083
35,496.79,502.083
